GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01827	42621742	770436	16.456	0.297	42.676149	-71.499772
01830	35804403	3345425	13.824	1.292	42.796313	-71.053436
01832	29526018	1251436	11.4	0.483	42.791114	-71.132859
01833	33304917	747696	12.859	0.289	42.726226	-70.983318
01834	22999252	1338979	8.88	0.517	42.7539	-71.015935
01835	20231094	2292072	7.811	0.885	42.751327	-71.094421
01840	1290376	200631	0.498	0.077	42.706763	-71.160403
01841	7998584	453646	3.088	0.175	42.712015	-71.164873
01843	8736725	637408	3.373	0.246	42.689988	-71.16039
01844	57529370	2021056	22.212	0.78	42.742641	-71.178651
01845	68075660	3709019	26.284	1.432	42.673909	-71.091334
01850	3521443	305903	1.36	0.118	42.656045	-71.303309
01851	8662366	94451	3.345	0.036	42.627813	-71.335334
01852	12881135	587990	4.973	0.227	42.632978	-71.295616
01854	10189905	1390759	3.934	0.537	42.649481	-71.348229
01860	22002284	1031927	8.495	0.398	42.838603	-71.011997
01862	23932060	1076016	9.24	0.415	42.578543	-71.295592
01863	11966194	840165	4.62	0.324	42.631176	-71.388163
01864	34086763	873679	13.161	0.337	42.578401	-71.084448
01867	25784672	36514	9.956	0.014	42.535183	-71.105423
01876	53008554	919871	20.467	0.355	42.611801	-71.227571
01879	43521939	3642103	16.804	1.406	42.667762	-71.42882
01880	17901490	1396460	6.912	0.539	42.501524	-71.067489
01886	78331441	2900091	30.244	1.12	42.585541	-71.44025
01887	43987580	445743	16.984	0.172	42.564647	-71.164516
01890	15623916	817439	6.032	0.316	42.452752	-71.144319
01901	641319	68752	0.248	0.027	42.460419	-70.946379
01902	6223960	235927	2.403	0.091	42.471039	-70.941535
01904	11704136	1301718	4.519	0.503	42.492456	-70.97393
01905	9215627	1194007	3.558	0.461	42.465998	-70.975792
01906	27965872	2599530	10.798	1.004	42.468432	-71.013946
01907	7860395	1107036	3.035	0.427	42.474145	-70.906597
01908	2786306	3481257	1.076	1.344	42.428234	-70.926071
01913	31836415	3729019	12.292	1.44	42.851277	-70.955792
01915	39082694	3957686	15.09	1.528	42.570442	-70.867693
01921	60993101	2199371	23.55	0.849	42.683108	-71.027188
01922	24845077	774070	9.593	0.299	42.757313	-70.914241
01923	34201832	2346800	13.205	0.906	42.574174	-70.950516
01929	36161510	5384240	13.962	2.079	42.640451	-70.771165
01930	67852041	13991607	26.198	5.402	42.623248	-70.682798
01937	189212	0	0.073	0.	42.585723	-70.984051
01938	78804629	13686343	30.427	5.284	42.68386	-70.842666
01940	27310871	1706409	10.545	0.659	42.534146	-71.038333
01944	23904155	3206997	9.229	1.238	42.576636	-70.767154
01945	11368640	8791482	4.389	3.394	42.501565	-70.858834
01949	34827637	2696737	13.447	1.041	42.610513	-71.007118
01950	21626667	5971677	8.35	2.306	42.812358	-70.891095
01951	35689224	6808128	13.78	2.629	42.773351	-70.850211
01952	39828337	6254024	15.378	2.415	42.844794	-70.841499
01960	41496047	1443335	16.022	0.557	42.53431	-70.969443
