id,program_id,contact_id,webvisible
309,3831,3831,1
310,3832,4010,1
311,3832,4007,1
314,3833,4468,1
315,3834,4200,1
316,3834,4007,1
317,3835,4004,1
318,3835,4005,1
319,3836,4013,0
320,3836,4014,1
321,3836,4575,1
322,3837,4015,1
323,3837,4016,1
324,4061,1334,1
325,4061,476,0
326,5352,5305,1
327,3841,5353,1
328,3897,2480,0
329,4231,4369,0
330,4271,2680,0
331,4271,4397,0
332,4271,4400,1
333,4279,3836,1
334,4282,4405,1
335,5356,5138,1
336,5407,5385,1
337,5418,5425,0
338,5426,5408,1
339,5365,5163,1
340,5368,5337,1
341,3844,3272,1
342,4072,3031,1
343,3848,4023,0
344,3850,4024,0
345,4077,4245,1
346,4179,4321,1
347,4341,4993,1
348,4341,5240,0
349,3853,4028,1
350,3854,4030,1
351,3854,4029,0
352,3854,5497,0
353,3856,4030,1
354,3857,1715,1
355,4183,4325,1
356,3860,4265,0
357,3860,4266,1
358,3862,4262,0
359,3862,4866,1
360,3863,4209,1
361,3864,1415,1
362,3928,4090,1
363,4186,4328,1
364,4188,4330,1
365,4200,4274,0
366,4200,4341,1
367,4289,4010,1
368,4289,4005,1
369,4285,4407,1
370,3880,4046,0
371,3880,4096,0
372,3881,4049,0
373,3881,4975,0
374,3882,4068,1
375,3890,4053,1
376,3868,3966,1
377,5448,5428,1
379,4306,4428,1
380,3944,1405,1
381,4308,1415,1
382,5450,4670,1
383,5523,1773,1
384,5523,5492,0
385,3879,4047,0
386,3879,4048,1
387,3960,1922,1
388,3909,4072,1
389,3917,428,1
390,5452,5432,1
391,3912,4072,1
392,3924,4078,1
393,3973,4166,0
394,3973,5400,1
395,3974,4165,1
396,5457,3777,1
397,3894,1912,1
398,3898,4062,1
399,3900,3224,1
400,5483,2080,0
401,5491,5443,0
402,4546,4338,1
403,3902,4065,1
404,3903,4065,1
405,5502,5463,1
406,3927,4092,1
407,4313,4166,1
408,4548,4573,1
409,5504,5641,1
410,5504,5642,0
411,5506,5467,1
412,5539,5508,1
413,5539,5509,0
414,3380,3603,1
415,3382,1863,1
416,3382,3649,0
417,3391,2328,1
418,3393,2244,1
419,3408,3625,0
420,3408,3626,0
421,3408,4391,1
422,3386,507,0
423,3386,505,0
424,3387,507,0
425,3387,505,1
426,5543,5512,1
427,4128,4275,0
428,4128,4885,1
429,3383,3606,1
430,3392,2244,1
431,3388,3607,1
432,3389,2030,0
433,3389,4962,0
434,3390,2335,1
435,3278,2617,1
436,3279,782,0
437,3279,5350,1
438,5546,5530,1
439,3283,3478,1
440,3283,3477,0
441,3282,3476,1
442,3290,633,0
443,3290,2459,1
444,3414,3634,1
445,3284,3478,1
446,3284,3477,0
447,3286,3482,1
448,3286,3483,0
449,3475,4251,1
450,3299,3499,1
451,3299,2699,0
452,3299,3502,0
453,4366,4472,1
454,4366,5245,0
455,5306,5252,1
456,5306,5253,0
457,5306,5458,0
458,5560,5567,1
459,3413,3632,1
460,3285,3479,1
461,3285,3480,0
462,3300,3500,1
463,3303,2819,1
464,3289,3490,1
465,3289,5603,0
466,5567,5576,1
467,3287,3770,1
468,3287,3485,0
469,3189,3370,1
470,3150,3327,1
471,3192,3373,0
472,3192,3568,0
473,3192,3569,0
474,3192,4952,1
475,3196,2387,1
476,3707,3866,1
477,3707,4443,0
478,3708,3867,1
479,3708,4440,0
480,3146,3325,1
481,4911,4832,1
482,4911,4833,1
483,3154,3332,1
484,3187,3369,1
485,3143,1837,1
486,3144,3324,1
487,3148,3326,1
488,3148,3823,0
489,3148,5470,0
490,3588,3767,1
491,3589,3768,1
492,3744,3892,1
493,3745,5276,1
494,3590,3769,0
495,3658,3828,1
496,3673,3837,1
497,3674,3835,1
498,3197,949,1
499,3200,2940,1
500,3203,3559,1
501,3417,1912,1
502,3746,3894,1
503,3466,3780,1
504,3151,3617,1
505,3151,3618,0
506,3151,3904,0
507,3152,3329,1
508,3152,3402,0
509,3158,3336,0
510,3158,3334,1
511,3163,3340,1
512,3163,2920,0
513,3169,3351,1
514,3169,3352,0
515,3170,3352,0
516,3170,3351,1
517,3194,2618,1
518,3427,3535,0
519,3427,4383,1
520,3273,4386,1
521,3164,3342,1
522,3231,3405,1
523,3246,5026,1
524,3247,3198,1
525,3695,3852,1
526,3463,5412,1
527,3464,3676,0
528,3464,5396,1
529,3731,4469,1
530,3739,3890,1
531,3739,2018,1
532,3248,4403,1
533,3294,3495,1
534,3294,3496,0
535,3297,3137,1
536,3297,1708,0
537,3302,3503,1
538,3302,3504,0
539,3537,3713,0
540,3537,4888,1
541,3548,3724,0
542,3548,4311,1
543,3697,3854,1
544,3343,2354,1
545,3350,2685,1
546,3350,4160,0
547,3174,2363,1
548,3425,3639,1
549,3425,4334,1
550,3425,5549,0
551,3425,5550,0
552,3426,3535,1
553,3428,3066,1
554,3428,3638,0
555,5186,5165,1
556,3592,3771,1
557,4032,617,1
558,4033,4217,1
559,4033,4232,0
560,4034,1873,1
561,4035,4212,1
562,5380,5332,1
563,3591,4338,1
564,3345,2439,1
565,3593,3770,1
566,3593,4560,1
567,3179,3361,1
568,3292,3493,0
569,3292,3494,0
570,3292,5013,1
571,3452,3660,1
572,3421,3605,0
573,3421,5094,0
574,3421,5188,0
575,3421,5334,1
576,3615,3790,0
577,3615,5048,0
578,3454,3659,1
579,3418,3535,1
580,3422,1210,1
581,3422,4284,0
582,3585,3764,1
583,3616,3791,1
584,3419,5299,1
585,3420,1824,1
586,3480,2238,1
587,3480,4621,0
588,3491,3687,0
589,3491,4300,1
590,3492,3686,0
591,3492,4305,1
592,3719,3873,1
593,3423,1302,1
594,3575,3757,1
595,5244,2419,1
596,5245,5214,1
597,5245,5600,0
598,3576,3758,1
599,3478,3677,1
600,3479,3677,1
601,3479,4639,0
602,3479,2053,0
603,3483,3434,1
604,3493,3688,0
605,3493,4308,1
606,3494,3686,0
607,3494,4303,1
608,3758,3910,0
609,3759,5503,1
610,3495,3687,0
611,3495,4301,1
612,3496,3685,0
613,3496,4313,1
614,3504,3700,1
615,3525,3709,1
616,3618,3792,1
618,3721,3873,1
619,2545,2723,1
620,2545,3467,0
621,3680,4575,1
622,3680,4632,0
623,3680,4633,0
624,3686,3825,1
625,3686,2523,1
626,1285,1333,1
627,1528,1986,1
628,1534,3729,1
629,1821,2485,1
630,1578,1922,1
631,1578,4973,0
632,4963,4887,1
633,143,468,0
634,143,1490,0
635,143,722,1
636,3690,4090,1
637,3696,5189,0
638,1300,1927,1
639,3760,1758,1
640,3751,2805,1
641,3751,1492,1
642,3752,3903,0
643,3752,5517,0
644,3752,5516,1
645,3753,617,1
646,3753,3906,0
647,3753,4500,0
648,4511,2523,1
649,3756,3908,1
650,3756,3948,0
651,3756,5611,1
652,3950,4098,1
653,2331,2458,1
654,2331,2457,0
655,2331,3201,0
656,2365,2498,1
657,2365,4911,0
658,1510,1877,1
659,1511,1878,1
660,1554,1893,1
661,1633,1988,1
662,1656,2024,1
663,193,617,0
664,193,1262,0
665,193,5045,1
666,3951,4099,1
667,2221,2353,1
668,214,681,1
669,215,971,0
670,215,3376,1
671,555,1060,1
672,555,1862,0
673,555,2901,0
674,623,1167,0
675,623,5024,1
676,956,449,0
677,956,529,0
678,956,1705,1
679,959,1268,1
680,2127,2307,1
681,2339,2464,1
682,2339,4829,0
683,2344,2471,1
684,2402,1901,0
685,2402,4584,1
686,965,1386,0
687,965,1554,1
688,965,1555,1
689,966,2004,0
690,966,3297,0
691,966,5259,0
692,966,4131,1
693,1168,1638,1
694,1168,1636,0
695,380,1551,0
696,382,2671,1
697,382,764,0
698,383,215,1
699,383,941,0
700,553,1589,0
701,553,4169,1
702,229,1333,1
703,229,659,0
704,2392,1836,1
705,2392,2552,0
706,2136,2316,1
707,2263,2411,1
708,231,312,0
710,2262,2410,1
711,232,468,0
712,232,2928,1
713,233,5466,0
714,233,2085,1
715,233,2479,0
716,233,5330,0
717,1142,1605,1
718,1142,5071,0
719,2393,1385,1
720,1162,1626,1
721,1162,1627,0
722,246,1092,0
723,246,2505,0
724,246,5727,1
725,246,5728,0
727,1299,3670,1
728,234,2085,1
729,234,2898,0
730,234,4148,1
731,235,5000,0
732,235,3604,1
733,236,687,0
734,236,625,0
735,236,5594,1
736,237,569,1
737,3887,1935,0
738,3888,4051,1
739,3889,3655,1
740,239,4032,1
741,239,1086,0
742,256,720,1
743,106,2738,1
744,1178,706,1
745,1366,2422,1
746,1366,2423,1
747,1366,2424,0
748,1181,633,0
749,1181,2459,0
750,1181,4574,1
751,2112,2294,1
752,2114,330,1
753,2115,2297,1
754,2190,2338,1
755,3969,4205,1
756,3969,4151,0
757,4028,4206,1
758,3916,4075,1
759,3918,4072,1
760,3919,4077,1
761,3920,4078,1
762,3921,4078,1
763,3922,4078,1
764,3923,4078,1
765,4812,1956,1
766,3925,4079,1
767,3925,4076,0
768,5150,1415,1
769,5150,4107,0
770,4087,4219,1
771,4090,4249,1
772,3942,4088,1
773,3942,4085,0
774,3970,4205,1
775,3972,4175,1
776,3972,2944,0
777,3975,4166,1
778,3965,4112,1
779,3966,4124,1
780,3966,4150,0
781,3994,4181,1
782,4767,4607,0
783,4767,4740,0
784,4013,3280,0
785,4013,4686,1
786,4013,4687,1
787,4843,4779,1
788,4846,2604,0
789,4846,4781,1
790,4848,4783,1
791,4008,632,1
792,4008,4344,0
793,4009,4192,1
794,4029,4459,0
795,4029,2685,1
796,2192,2339,1
797,2390,887,0
799,2252,3004,1
800,257,5616,0
801,257,1775,1
802,258,205,1
803,2397,2560,1
804,259,392,0
805,259,2965,0
806,259,2964,1
807,391,222,0
808,391,2619,1
809,1150,2836,1
810,1624,2014,1
811,289,745,1
812,290,5079,1
813,290,525,0
814,290,795,0
815,291,1366,1
816,292,1506,1
817,669,1172,1
818,669,782,1
819,2220,2352,1
820,1337,1930,1
821,416,1429,0
822,416,1431,0
823,416,216,0
824,416,4211,1
825,417,664,1
826,417,1539,0
827,418,216,1
828,431,210,1
829,2104,2286,1
830,2107,2291,1
831,2108,2292,1
832,2109,2293,1
833,2166,2328,1
834,2168,2328,1
835,2106,2289,1
836,1325,1708,0
837,1325,3137,1
838,3971,4454,1
839,2164,2327,1
840,479,937,0
841,479,659,0
842,479,5614,1
843,480,1087,0
844,480,659,0
845,480,3602,0
846,480,4667,1
847,832,1457,0
848,832,5422,1
849,1324,1928,1
850,1324,3615,0
851,922,1057,0
852,922,1206,1
856,3611,3785,1
857,2163,2327,1
858,2374,2521,1
859,1384,1803,1
860,1384,1805,1
861,1384,1804,1
862,1442,1838,1
863,1492,1866,0
864,1492,3332,1
865,1519,1038,1
866,1520,1038,1
867,1520,3653,1
868,1680,2003,1
869,1681,2003,1
870,2131,2435,0
871,2131,2434,1
872,1682,5653,1
873,1682,5241,0
874,2130,2309,1
875,3276,2617,1
876,3280,3574,1
877,1683,5651,1
878,923,1213,0
879,923,1528,1
880,924,1210,1
881,926,1212,1
882,927,1460,0
883,927,1686,0
884,927,3362,1
885,927,3199,0
886,4026,4204,0
887,4026,5561,0
888,505,178,0
889,505,2552,1
890,506,906,0
891,506,3825,1
892,507,907,1
893,2110,2294,1
894,508,908,1
895,509,909,1
896,622,1369,1
897,622,509,1
898,1319,1932,1
899,1321,1928,1
900,1321,3615,0
901,1341,1794,1
902,1341,2795,1
903,1416,1815,1
904,306,862,1
905,1255,1751,0
906,1255,5151,1
907,1255,3683,0
908,3549,3723,1
909,2079,2261,0
910,2079,2262,1
911,249,862,1
912,732,4797,0
913,732,62,0
914,732,3512,1
915,732,1625,0
916,762,1149,1
917,762,952,0
918,764,8,0
919,764,4823,1
920,760,248,1
921,140,667,1
922,668,1546,1
926,2057,2252,1
927,1125,1595,1
928,1125,1596,0
929,1125,2032,0
930,618,714,1
931,618,1025,0
932,780,4421,1
933,780,2528,0
934,780,5623,1
935,970,1272,1
936,766,1108,1
937,843,1112,1
938,843,496,0
939,851,1111,1
940,851,1112,1
941,2072,2255,0
942,2072,5523,0
943,2087,2265,1
944,3981,93,0
945,3997,534,1
946,3997,5314,0
947,4036,4214,1
948,900,1378,1
949,2880,1320,1
950,2880,3425,0
951,2880,4571,0
952,921,1206,1
953,934,218,0
954,934,3028,1
955,2084,4886,1
956,1128,2234,0
957,1128,2319,0
958,1128,2320,0
959,1128,3718,1
960,1171,1636,0
961,1172,1638,1
962,1172,1636,0
963,1258,1734,1
964,1258,3562,1
965,1176,706,0
967,1176,4144,1
968,1176,5344,1
969,3034,1514,1
970,1184,1645,1
971,1257,1730,0
972,1257,2882,1
973,2123,2303,1
974,2250,2371,1
975,2249,2370,1
976,1301,1927,1
