,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
2010,2093217.0,35529292.0,19230961.0,32448138.0,58171297.333333336,18102386.0,8710183.333333334,1415541.3333333333,3173315.3333333335,122244650.0,61554498.0,2989499.0,14554888.0,5424490.666666667,32388656.0,35058372.0,14334086.0,29136518.0,32678931.0,14272670.0,19289382.666666668,2914556.6666666665,23120476.666666668,22464797.0,37302279.0,20174826.0,3161862.6666666665,62160107.0,4392596.0,10106673.0,2990312.6666666665,20204845.333333332,6752473.0,7743112.666666667,33963765.333333336,36316251.333333336,23688861.0,12559110.666666666,36835224.666666664,2078538.6666666667,32852086.0,4628123.0,45191027.0,137161402.0,963805602.0,8834230.0,48438958.0,2127935.0,23271284.0,22299493.0,12442583.0,2727201.0
2011,2134422.0,33002815.0,18787349.0,33079074.0,58932277.333333336,18276799.0,8612530.666666666,1374261.3333333333,3088062.6666666665,116341105.0,57749519.0,2928743.0,14326771.0,8389866.0,31371334.666666668,33912098.0,14343748.0,27197836.0,32019040.0,13648341.333333334,18197116.666666668,2921024.0,23207558.0,22523727.0,35941243.0,19336430.0,3275406.6666666665,58055878.0,4552228.0,9946973.0,2969392.0,19599246.666666668,6873748.0,7662186.0,34159732.666666664,35791407.333333336,24425027.0,12952783.333333334,36530422.0,2086297.3333333333,30801731.0,4646384.0,43067861.0,145654228.0,948534062.0,8946741.0,45771144.0,2124533.0,24250762.0,22149941.0,11746151.0,2802726.0
2012,2160196.0,30632261.0,17909301.0,32922970.0,60073330.0,18220365.0,8505088.666666666,1335018.0,3014454.6666666665,112127056.0,53660167.0,2739298.0,13987613.0,8159349.0,31267913.333333332,32963522.0,13796679.0,26096707.0,30026588.0,13542312.666666666,17785438.666666668,2987157.3333333335,22974093.333333332,22059631.0,34336615.0,17992708.0,3185576.6666666665,54671521.0,4484758.0,9680143.0,2959472.0,19108638.666666668,6763820.0,8081812.0,33794337.333333336,34858512.666666664,22809680.0,12569772.666666666,35250705.333333336,2080911.3333333333,28366263.0,4453732.0,39753631.0,137411633.0,916343138.6666666,9188204.0,43534675.0,2095283.0,23673974.0,22026353.0,11194679.0,2716528.0
2013,2103966.0,31378659.0,18219287.0,33103602.0,59494622.666666664,18528908.0,8756967.333333334,1355745.3333333333,3046675.3333333335,113293913.0,53544411.0,2608853.0,14625866.0,8619262.0,30914822.666666668,33406630.0,13593003.0,26788098.0,30709206.0,13818416.0,18298911.333333332,3108202.0,22675445.333333332,22849542.0,35318204.0,18462415.0,3284314.0,56251297.0,5038846.0,10062159.0,3035914.0,19029758.666666668,6803987.0,8094954.0,33851579.333333336,34772062.666666664,23199968.0,12885705.333333334,36167898.0,2109794.6666666665,28812518.0,4824150.0,40905924.0,140272607.0,929874752.6666666,9401748.0,45416253.0,2125435.0,23988990.666666668,22095922.0,11581825.0,2829496.0
2014,2043614.0,32929598.0,18441119.0,32346079.0,59573786.666666664,18092932.0,8518386.0,1381470.0,3096560.6666666665,116535263.0,57167387.0,2583770.0,14426582.0,8134913.0,30672972.0,33703965.0,13684952.0,27399768.0,31400683.0,13380773.333333334,18325088.666666668,3107070.0,22343327.333333332,22791466.0,35792644.0,18922097.0,3312828.6666666665,58649994.0,5357514.0,10028238.0,3006991.3333333335,18595054.666666668,6611970.0,7944347.333333333,33316609.333333332,35202889.333333336,23351144.0,12411742.0,36130223.333333336,2046898.0,30715986.0,4827368.0,42538248.0,140899744.0,938138874.0,8963971.0,30962477.333333332,2121347.0,23388638.666666668,21925712.0,11990728.0,2752313.0
2015,2044184.0,31908530.0,18273389.0,33167205.0,59590915.333333336,18384936.0,8595241.333333334,1665039.3333333333,3232665.3333333335,122759472.0,56421650.0,2641336.0,13786328.0,8054693.0,29763758.666666668,32441693.0,13241682.0,26168093.0,31545313.0,13450211.333333334,18268890.666666668,3108200.6666666665,22238584.0,21713970.0,33911760.0,18561101.0,3216808.6666666665,57901557.0,4862542.0,9532132.0,3017965.3333333335,19428188.666666668,6641724.0,8225692.0,34008496.666666664,34328636.0,22615824.0,12179338.0,36279108.666666664,2090337.3333333333,30059188.0,4571325.0,41667411.0,145651913.0,936064332.6666666,9117153.0,30618940.666666668,2088940.0,22714658.0,21214787.0,11437451.0,2676702.0
2016,2006392.0,32055546.0,17784233.0,33690783.0,58874046.0,18833722.0,8451322.0,1667928.0,3175404.0,123320547.0,57889379.0,2611727.0,14093678.0,8172022.0,30660034.666666668,33025955.0,13509235.0,26338437.0,30650067.0,13128597.333333334,18211247.333333332,3057216.6666666665,23028841.333333332,21803791.0,34354932.0,18458928.0,3235031.3333333335,58456809.0,4741298.0,9738351.0,2958938.0,19393817.333333332,6642511.0,8461294.666666666,33887524.666666664,35016094.0,22789715.0,12382161.333333334,35918086.666666664,2054374.6666666667,30615596.0,4618724.0,41773888.0,145973181.0,940705435.3333334,9370656.0,30124038.0,2056402.0,22807832.0,21814249.0,11375581.0,2751073.0
2017,2060349.0,30181045.0,17026779.0,34251220.0,60082336.666666664,18615000.0,8253013.333333333,1596434.6666666667,3108398.6666666665,121462622.0,54771449.0,2629679.0,13721869.0,8727901.0,29144927.333333332,31551558.0,13013422.0,24882582.0,29531960.0,12891866.0,17389450.666666668,3092356.6666666665,21984916.0,21573800.0,33051080.0,17444016.0,3483058.6666666665,56133960.0,4848305.0,9667990.0,2960998.0,18507919.333333332,6497207.0,8624527.333333334,32720504.666666668,33197026.666666668,21837596.0,13377286.666666666,34482998.666666664,2018844.6666666667,29224971.0,4652890.0,39292528.0,144242131.0,919098494.6666666,9510783.0,29321626.666666668,2023424.0,24855267.333333332,21233154.0,10573463.0,2772371.0
2018,1974906.0,33080380.0,19259204.0,34660297.0,59399990.0,19286952.0,8707581.333333334,1728161.3333333333,3380116.6666666665,125528047.0,59689106.0,2710698.0,14840349.0,8427578.0,31483943.333333332,34574664.0,14187192.0,27712722.0,32065538.0,13523116.0,18758982.666666668,3248000.6666666665,23420948.0,22837140.0,37463390.0,19310527.0,3465124.0,61622454.0,5133171.0,10412008.0,3094008.6666666665,19687126.0,6826442.0,8966495.333333334,34768830.666666664,36301142.666666664,24116808.0,12620388.666666666,37264302.0,2082778.6666666667,31852419.0,5018360.0,44381957.0,157267913.0,979395372.6666666,9714507.0,31975070.666666668,2116045.0,23559318.666666668,22441335.0,11679455.0,2748356.0
2019,1928208.0,32415646.0,18732316.0,34720050.0,58349324.666666664,19404743.0,8329033.333333333,1697946.6666666667,3336087.3333333335,127181551.0,59331491.0,2759774.0,14494821.0,8696843.0,30146838.666666668,33249234.0,13630661.0,26573076.0,30986024.0,12876380.666666666,18355795.333333332,3195872.6666666665,22330483.333333332,22288152.0,35691426.0,18717858.0,3538735.3333333335,59852793.0,5125431.0,10307905.0,3004553.3333333335,19075036.666666668,6871561.0,8578424.666666666,33427335.333333332,34817398.0,23805972.0,12857454.666666666,36264121.333333336,1988674.6666666667,31159957.0,5057032.0,42573183.0,155481342.0,960192606.0,9739525.0,31110775.333333332,2081545.0,24341616.0,21995360.0,11153219.0,2849378.0
2020,1927452.589265508,32802226.96578069,18529415.238413356,34956236.418010116,58326095.31567573,19519333.43738006,8315761.373962742,1663053.3105648952,3328940.5902608093,127749230.08130503,59616216.93208103,2760761.450864252,14697651.199311422,8885359.89071971,29347764.516893685,33848266.91543488,13489162.88338543,26218977.718071252,30941630.14865587,12914006.107887639,18132614.873702873,3198304.5187085154,22255346.199245945,22101368.347619314,35680655.89736819,18638739.6452492,3574684.2971040835,59952129.217359126,5082016.3563372465,10247797.477227684,2997891.198829117,18922864.822844137,6829942.976727315,8579579.91083808,32994922.80537043,34496611.89208157,23699770.843029924,13227906.605494833,35860209.572535135,1974367.9661641563,31443449.000708375,4931581.628205896,42242903.398109294,152196982.28196266,929128961.3771377,9838582.486626223,31432032.7220733,2088476.3270904499,24649500.14491627,21846694.666235376,11041268.548211692,2877957.5015127966
2021,1928006.1666331943,32854115.491932604,18862445.338945504,34717147.24949059,58317846.83785441,19670769.168171868,8334594.392106442,1676214.1903223805,3346971.183057864,128034519.46712467,59246988.08019185,2761820.3339579,14895823.312002366,9202604.501999065,32378754.17242522,34400544.32116407,13649930.570810435,26565648.40990591,31090898.45409644,13028258.066957839,18369081.71260854,3197860.8195379986,22341690.995194003,22199587.26619925,35427106.07875317,18687855.933538746,3558296.772499237,60655101.29010837,5082478.7256343085,10377531.910178617,2993511.0036922223,18998587.40617916,6831996.327544944,8587404.483539626,33288724.396026116,34727664.33614019,23938441.564487528,12808042.735069819,35940273.97953727,1991122.1623960836,31226164.996808365,4958353.818622472,42291241.61704712,151834267.8543603,937319161.6927768,9944864.219080875,30442400.71597579,2088490.2676548103,24418727.22742478,21965004.77416499,11119297.244842181,2893162.5013210597
2022,1926277.3475759444,33681571.97375411,18764645.838830452,36209211.92667116,58320491.55649274,19780423.184770744,8334618.061744624,1669377.5502532749,3343734.898552795,128218078.30038501,60442361.35401006,2764346.4725488583,14773841.280643208,9414899.267873771,29969091.51912254,34035113.83748125,13598595.654190782,26384765.24601576,31061477.121899318,12969951.559858972,18204268.90902909,3187961.3296216144,22300590.867145266,22180501.36780217,34655880.30392843,18701046.079811804,3752671.9664026764,60621494.97023927,5088506.929440217,10398335.060420604,2992552.4883463113,18933676.079646237,7224509.654809697,8582281.65950701,33394214.547622398,34589618.38555715,23966127.738879018,13016618.461164309,36440624.0224342,1985777.022271845,31714988.90496411,4975741.4531240305,43116886.49588524,153219634.71182418,905995609.1333029,10044627.218927197,30664034.63096836,2089927.5969095898,24330470.443956047,21913960.010540318,11284881.913359942,2923307.871818682
2023,1923166.2199959825,32840388.43386436,18858374.502440725,34118449.405303136,58283880.44364062,19909004.267450973,8319753.68396791,1672226.7546912401,3350568.1392816002,128549809.90193383,59118326.8690228,2766045.4495288846,14897883.882845826,9582844.824958581,28496484.82295464,34382252.069563024,13622251.468214158,26444789.808594476,31116692.215431493,12871363.440961799,18331751.08492924,3184066.1494292617,22390918.88117176,22252058.92773147,38420388.74599386,18714205.695414156,3762336.230037331,61002559.41823835,5107239.123073919,10445689.409932923,3011892.8867758852,18753316.671148524,7264220.630535488,8550435.373637687,32954234.00194052,34766147.91092015,24060006.567133002,12948019.575909533,35546337.842374235,1980159.789022887,31084002.5704564,4991632.353586578,41923631.82487357,155881689.78003764,911818002.4026757,10140140.715461979,31188961.913690716,2087535.6699754638,24259493.61117527,21986002.915791858,11366935.350233937,2941272.7181353467
2024,1920632.0034450835,33717216.232655495,18912551.775642447,34382083.24507083,58272662.84312122,20029448.359994873,8339056.159344315,1672940.1074060895,3351017.6237469623,128690429.64482988,60435399.39325241,2766542.520154445,14850753.782041157,9751479.153495016,27644800.899209358,34291982.47146333,13628072.488517513,26445818.65780583,31139008.320406433,13042427.750476375,18218021.646565422,3187034.896296364,22268902.302048404,22218579.356853444,37300325.25872074,18724226.663573097,3753759.2780631515,61258011.04633995,5111252.512260692,10487448.649786975,2984437.716119382,18733129.641577262,7238150.122859901,8583626.454660194,33498071.31704023,34656680.69739896,24143087.487205576,12935855.658392625,36390929.29311973,1992842.2980451453,31739735.995666854,4999166.675003834,42959356.19483676,157325297.5686861,892894838.1838363,10231610.199495653,30460958.452843808,2088841.9660748576,24144036.720858306,21955239.66856078,11447131.172617214,2962930.0269554304
2025,1918372.6014676506,32924291.60327477,18962970.152890313,34303390.62496615,58272556.73235968,20143619.964285605,8321466.264498559,1671390.7942485763,3351143.534116226,128724133.97074549,59189503.87621618,2766973.7297392176,14883186.724093325,9918891.26382623,27562225.975435194,34356795.89207626,13633337.642845467,26446908.36273861,31158968.294360135,12895308.377753248,18313855.61996523,3186615.401918182,22284966.52652337,22215168.097032256,35250441.73203336,18733113.62799603,3776032.70703339,61498374.67538918,5112536.511223256,10526989.984623177,3005536.184420153,18726066.986213814,7221596.389384182,8563618.413005808,33098121.693866096,34652533.00485844,24220729.40540864,12929375.803540753,35747835.64140535,1983269.5370179366,30577425.177823804,4996941.619802399,42151482.97244502,157800261.2325407,899723844.4107589,10319781.668770447,31713353.743937027,2088267.3932422872,24066412.720048193,21954229.418862764,11482373.016601384,2984049.704577743
2026,1916357.9663042624,33723997.78086923,19009447.737325884,34344253.61393074,58272555.69401813,20251826.433162868,8337496.934553203,1671202.1131667923,3351178.4897351246,128732214.26747967,60476543.08381751,2767347.749724064,14878036.304142594,10088613.496726856,27320263.942742154,34365775.102818765,13638084.569347877,26447768.742775053,31176824.84127014,13021837.853400076,18233037.120232463,3186691.2156990757,22282853.288580198,22214799.906849973,35079488.82472081,18740991.700090196,3774408.0140807056,61724296.41664388,5112937.161196977,10564408.194939608,2989348.971055852,18704861.02492134,7258947.131285862,8575681.473273503,33391079.26711877,34652367.17988034,24293267.33875724,12926268.837972432,36238646.03326752,1990497.4640927755,30673335.7499639,4996138.979072238,42782239.64330742,157962360.8699728,893478048.5993326,10404781.670904236,30555480.369065534,2088518.8451308305,24014175.192900237,21954187.422648415,11354224.469375424,3004477.1172710876
