id,name,state_id
600,"Dillon County",47
601,"Abbeville County",47
602,"Anderson County",47
603,"Pickens County",47
604,"Oconee County",47
605,"Greenwood County",47
606,"York County",47
607,"Allendale County",47
608,"Barnwell County",47
609,"McCormick County",47
610,"Edgefield County",47
611,"Beaufort County",47
612,"Hampton County",47
613,"Jasper County",47
614,"Dekalb County",13
615,"Gwinnett County",13
616,"Fulton County",13
617,"Cobb County",13
618,"Barrow County",13
619,"Rockdale County",13
620,"Newton County",13
621,"Walton County",13
622,"Forsyth County",13
623,"Jasper County",13
624,"Cherokee County",13
625,"Bartow County",13
626,"Polk County",13
627,"Floyd County",13
628,"Carroll County",13
629,"Haralson County",13
630,"Douglas County",13
631,"Paulding County",13
632,"Cleburne County",13
633,"Gordon County",13
634,"Pickens County",13
635,"Lamar County",13
636,"Fayette County",13
637,"Pike County",13
638,"Spalding County",13
639,"Butts County",13
640,"Heard County",13
641,"Meriwether County",13
642,"Coweta County",13
643,"Henry County",13
644,"Troup County",13
645,"Clayton County",13
646,"Upson County",13
647,"Emanuel County",13
648,"Montgomery County",13
649,"Wheeler County",13
650,"Jefferson County",13
651,"Evans County",13
652,"Bulloch County",13
653,"Tattnall County",13
654,"Screven County",13
655,"Jenkins County",13
656,"Burke County",13
657,"Toombs County",13
658,"Candler County",13
659,"Laurens County",13
660,"Treutlen County",13
661,"Hall County",13
662,"Habersham County",13
663,"Banks County",13
664,"Union County",13
665,"Fannin County",13
666,"Hart County",13
667,"Jackson County",13
668,"Franklin County",13
669,"Gilmer County",13
670,"Rabun County",13
671,"White County",13
672,"Lumpkin County",13
673,"Dawson County",13
674,"Stephens County",13
675,"Towns County",13
676,"Clarke County",13
677,"Oglethorpe County",13
678,"Oconee County",13
679,"Morgan County",13
680,"Elbert County",13
681,"Madison County",13
682,"Taliaferro County",13
683,"Greene County",13
684,,13
685,"Wilkes County",13
686,"Murray County",13
687,"Walker County",13
688,"Whitfield County",13
689,"Catoosa County",13
690,"Chattooga County",13
691,"Dade County",13
692,"Columbia County",13
693,"Richmond County",13
694,"McDuffie County",13
695,"Warren County",13
696,"Glascock County",13
697,"Lincoln County",13
698,"Wilcox County",13
699,"Wilkinson County",13
700,"Monroe County",13
701,"Houston County",13
702,"Taylor County",13
703,"Dooly County",13
704,"Peach County",13
705,"Crisp County",13
706,"Dodge County",13
707,"Bleckley County",13
708,"Twiggs County",13
709,"Washington County",13
710,"Putnam County",13
711,"Jones County",13
712,"Baldwin County",13
713,"Pulaski County",13
714,"Telfair County",13
715,"Macon County",13
716,"Johnson County",13
717,"Crawford County",13
718,"Bibb County",13
719,"Marion County",13
720,"Hancock County",13
