"County","State","FIPS Code","Formatted FIPS","Average annual wage in the specialty trade contractors industry "
"Greene","IL","17061","=""17061""","35142"
"Grundy","IL","17063","=""17063""","63804"
"Hamilton","IL","17065","=""17065""","35760"
"Hancock","IL","17067","=""17067""","N/A"
"Hardin","IL","17069","=""17069""","N/A"
"Henderson","IL","17071","=""17071""","25570"
"Henry","IL","17073","=""17073""","69865"
"Iroquois","IL","17075","=""17075""","48229"
"Jackson","IL","17077","=""17077""","51875"
"Jasper","IL","17079","=""17079""","42518"
"Jefferson","IL","17081","=""17081""","54823"
"Jersey","IL","17083","=""17083""","49042"
"Jo Daviess","IL","17085","=""17085""","45999"
"Johnson","IL","17087","=""17087""","83253"
"Kane","IL","17089","=""17089""","72107"
"Kankakee","IL","17091","=""17091""","56875"
"Kendall","IL","17093","=""17093""","60901"
"Knox","IL","17095","=""17095""","52186"
"Lake","IL","17097","=""17097""","68624"
"LaSalle","IL","17099","=""17099""","69250"
"Lawrence","IL","17101","=""17101""","44339"
"Lee","IL","17103","=""17103""","42330"
"Livingston","IL","17105","=""17105""","54358"
"Logan","IL","17107","=""17107""","33742"
"McDonough","IL","17109","=""17109""","33273"
"McHenry","IL","17111","=""17111""","63361"
"McLean","IL","17113","=""17113""","51721"
"Macon","IL","17115","=""17115""","57891"
"Macoupin","IL","17117","=""17117""","43808"
"Madison","IL","17119","=""17119""","62677"
"Marion","IL","17121","=""17121""","44004"
"Marshall","IL","17123","=""17123""","49012"
"Mason","IL","17125","=""17125""","44255"
"Massac","IL","17127","=""17127""","39808"
"Menard","IL","17129","=""17129""","43322"
"Mercer","IL","17131","=""17131""","67043"
"Monroe","IL","17133","=""17133""","52544"
"Montgomery","IL","17135","=""17135""","37183"
"Morgan","IL","17137","=""17137""","46232"
"Moultrie","IL","17139","=""17139""","55353"
"Ogle","IL","17141","=""17141""","51800"
"Peoria","IL","17143","=""17143""","66449"
"Perry","IL","17145","=""17145""","41228"
"Piatt","IL","17147","=""17147""","N/A"
"Pike","IL","17149","=""17149""","34712"
"Pope","IL","17151","=""17151""","10135"
"Pulaski","IL","17153","=""17153""","N/A"
"Putnam","IL","17155","=""17155""","51810"
"Randolph","IL","17157","=""17157""","47659"
"Richland","IL","17159","=""17159""","38257"
"Rock Island","IL","17161","=""17161""","62065"
"St. Clair","IL","17163","=""17163""","52441"
"Saline","IL","17165","=""17165""","65893"
"Sangamon","IL","17167","=""17167""","52469"
"Schuyler","IL","17169","=""17169""","31991"
"Scott","IL","17171","=""17171""","39486"
"Shelby","IL","17173","=""17173""","36198"
"Stark","IL","17175","=""17175""","29145"
"Stephenson","IL","17177","=""17177""","79029"
"Tazewell","IL","17179","=""17179""","57765"
"Union","IL","17181","=""17181""","35141"
"Vermilion","IL","17183","=""17183""","47463"
"Wabash","IL","17185","=""17185""","N/A"
"Warren","IL","17187","=""17187""","32346"
"Washington","IL","17189","=""17189""","42992"
"Wayne","IL","17191","=""17191""","45955"
"White","IL","17193","=""17193""","47692"
"Whiteside","IL","17195","=""17195""","53276"
"Will","IL","17197","=""17197""","74030"
"Williamson","IL","17199","=""17199""","45087"
"Winnebago","IL","17201","=""17201""","67605"
"Woodford","IL","17203","=""17203""","47962"
"Adams","IN","18001","=""18001""","38202"
"Allen","IN","18003","=""18003""","55599"
"Bartholomew","IN","18005","=""18005""","48732"
"Benton","IN","18007","=""18007""","42802"
"Blackford","IN","18009","=""18009""","50161"
"Boone","IN","18011","=""18011""","56176"
"Brown","IN","18013","=""18013""","35918"
"Carroll","IN","18015","=""18015""","47161"
"Cass","IN","18017","=""18017""","60844"
"Clark","IN","18019","=""18019""","47436"
"Clay","IN","18021","=""18021""","35944"
"Clinton","IN","18023","=""18023""","51196"
"Crawford","IN","18025","=""18025""","32350"
"Daviess","IN","18027","=""18027""","41660"
"Dearborn","IN","18029","=""18029""","42708"
"Decatur","IN","18031","=""18031""","50609"
"DeKalb","IN","18033","=""18033""","46817"
"Delaware","IN","18035","=""18035""","45616"
"Dubois","IN","18037","=""18037""","45871"
"Elkhart","IN","18039","=""18039""","56196"
"Fayette","IN","18041","=""18041""","34848"
"Floyd","IN","18043","=""18043""","49789"
"Fountain","IN","18045","=""18045""","33789"
"Franklin","IN","18047","=""18047""","38248"
"Fulton","IN","18049","=""18049""","32804"
"Gibson","IN","18051","=""18051""","51940"
"Grant","IN","18053","=""18053""","47765"
"Greene","IN","18055","=""18055""","41140"
"Hamilton","IN","18057","=""18057""","58147"
"Hancock","IN","18059","=""18059""","45960"
"Harrison","IN","18061","=""18061""","37493"
"Hendricks","IN","18063","=""18063""","56135"
"Henry","IN","18065","=""18065""","38710"
"Howard","IN","18067","=""18067""","48757"
"Huntington","IN","18069","=""18069""","47207"
"Jackson","IN","18071","=""18071""","46954"
"Jasper","IN","18073","=""18073""","63300"
"Jay","IN","18075","=""18075""","34470"
"Jefferson","IN","18077","=""18077""","42489"
"Jennings","IN","18079","=""18079""","49764"
"Johnson","IN","18081","=""18081""","52601"
"Knox","IN","18083","=""18083""","39762"
"Kosciusko","IN","18085","=""18085""","39260"
"LaGrange","IN","18087","=""18087""","48702"
"Lake","IN","18089","=""18089""","70805"
"LaPorte","IN","18091","=""18091""","54865"
"Lawrence","IN","18093","=""18093""","39783"
"Madison","IN","18095","=""18095""","50286"
"Marion","IN","18097","=""18097""","58653"
"Marshall","IN","18099","=""18099""","45764"
"Martin","IN","18101","=""18101""","33789"
"Miami","IN","18103","=""18103""","52702"
"Monroe","IN","18105","=""18105""","50337"
"Montgomery","IN","18107","=""18107""","42838"
"Morgan","IN","18109","=""18109""","45922"
"Newton","IN","18111","=""18111""","54786"
"Noble","IN","18113","=""18113""","43752"
"Ohio","IN","18115","=""18115""","N/A"
"Orange","IN","18117","=""18117""","38961"
"Owen","IN","18119","=""18119""","37833"
"Parke","IN","18121","=""18121""","40615"
"Perry","IN","18123","=""18123""","42745"
"Pike","IN","18125","=""18125""","28521"
"Porter","IN","18127","=""18127""","63245"
"Posey","IN","18129","=""18129""","49707"
"Pulaski","IN","18131","=""18131""","41818"
"Putnam","IN","18133","=""18133""","47935"
"Randolph","IN","18135","=""18135""","50113"
"Ripley","IN","18137","=""18137""","43948"
"Rush","IN","18139","=""18139""","35308"
"St. Joseph","IN","18141","=""18141""","57983"
"Scott","IN","18143","=""18143""","N/A"
"Shelby","IN","18145","=""18145""","46300"
"Spencer","IN","18147","=""18147""","34964"
"Starke","IN","18149","=""18149""","39702"
"Steuben","IN","18151","=""18151""","49615"
"Sullivan","IN","18153","=""18153""","32129"
"Switzerland","IN","18155","=""18155""","54037"
"Tippecanoe","IN","18157","=""18157""","50096"
"Tipton","IN","18159","=""18159""","46830"
"Union","IN","18161","=""18161""","N/A"
"Vanderburgh","IN","18163","=""18163""","57668"
"Vermillion","IN","18165","=""18165""","49739"
"Vigo","IN","18167","=""18167""","53983"
"Wabash","IN","18169","=""18169""","52373"
"Warren","IN","18171","=""18171""","45513"
"Warrick","IN","18173","=""18173""","50725"
"Washington","IN","18175","=""18175""","30197"
"Wayne","IN","18177","=""18177""","44199"
"Wells","IN","18179","=""18179""","42294"
"White","IN","18181","=""18181""","72357"
"Whitley","IN","18183","=""18183""","49474"
"Adair","IA","19001","=""19001""","43197"
"Adams","IA","19003","=""19003""","31363"
"Allamakee","IA","19005","=""19005""","38103"
"Appanoose","IA","19007","=""19007""","N/A"
"Audubon","IA","19009","=""19009""","35445"
"Benton","IA","19011","=""19011""","43021"
"Black Hawk","IA","19013","=""19013""","54331"
"Boone","IA","19015","=""19015""","46260"
"Bremer","IA","19017","=""19017""","40894"
"Buchanan","IA","19019","=""19019""","38434"
"Buena Vista","IA","19021","=""19021""","45235"
"Butler","IA","19023","=""19023""","46158"
"Calhoun","IA","19025","=""19025""","45920"
"Carroll","IA","19027","=""19027""","43970"
"Cass","IA","19029","=""19029""","47153"
"Cedar","IA","19031","=""19031""","46500"
"Cerro Gordo","IA","19033","=""19033""","52003"
"Cherokee","IA","19035","=""19035""","39915"
"Chickasaw","IA","19037","=""19037""","34912"
"Clarke","IA","19039","=""19039""","N/A"
"Clay","IA","19041","=""19041""","47760"
"Clayton","IA","19043","=""19043""","46111"
"Clinton","IA","19045","=""19045""","49918"
"Crawford","IA","19047","=""19047""","51787"
"Dallas","IA","19049","=""19049""","51553"
"Davis","IA","19051","=""19051""","43067"
"Decatur","IA","19053","=""19053""","37096"
"Delaware","IA","19055","=""19055""","44170"
"Des Moines","IA","19057","=""19057""","52877"
"Dickinson","IA","19059","=""19059""","43101"
"Dubuque","IA","19061","=""19061""","49223"
"Emmet","IA","19063","=""19063""","41327"
"Fayette","IA","19065","=""19065""","46040"
"Floyd","IA","19067","=""19067""","48410"
"Franklin","IA","19069","=""19069""","42813"
"Fremont","IA","19071","=""19071""","25438"
"Greene","IA","19073","=""19073""","41340"
"Grundy","IA","19075","=""19075""","46244"
"Guthrie","IA","19077","=""19077""","42774"
"Hamilton","IA","19079","=""19079""","40645"
"Hancock","IA","19081","=""19081""","46420"
"Hardin","IA","19083","=""19083""","46388"
"Harrison","IA","19085","=""19085""","31365"
"Henry","IA","19087","=""19087""","44845"
"Howard","IA","19089","=""19089""","35100"
"Humboldt","IA","19091","=""19091""","N/A"
"Ida","IA","19093","=""19093""","50381"
"Iowa","IA","19095","=""19095""","35361"
"Jackson","IA","19097","=""19097""","35223"
"Jasper","IA","19099","=""19099""","49211"
"Jefferson","IA","19101","=""19101""","36762"
"Johnson","IA","19103","=""19103""","51254"
"Jones","IA","19105","=""19105""","42257"
"Keokuk","IA","19107","=""19107""","37585"
"Kossuth","IA","19109","=""19109""","46562"
"Lee","IA","19111","=""19111""","56303"
"Linn","IA","19113","=""19113""","60480"
"Louisa","IA","19115","=""19115""","34262"
"Lucas","IA","19117","=""19117""","39439"
"Lyon","IA","19119","=""19119""","40043"
"Madison","IA","19121","=""19121""","42700"
"Mahaska","IA","19123","=""19123""","43961"
"Marion","IA","19125","=""19125""","54645"
"Marshall","IA","19127","=""19127""","47790"
"Mills","IA","19129","=""19129""","36051"
"Mitchell","IA","19131","=""19131""","46221"
"Monona","IA","19133","=""19133""","36850"
"Monroe","IA","19135","=""19135""","60131"
"Montgomery","IA","19137","=""19137""","47472"
"Muscatine","IA","19139","=""19139""","55313"
"O'Brien","IA","19141","=""19141""","40885"
"Osceola","IA","19143","=""19143""","44222"
"Page","IA","19145","=""19145""","35414"
"Palo Alto","IA","19147","=""19147""","46202"
"Plymouth","IA","19149","=""19149""","39749"
"Pocahontas","IA","19151","=""19151""","35751"
"Polk","IA","19153","=""19153""","61121"
"Pottawattamie","IA","19155","=""19155""","64084"
"Poweshiek","IA","19157","=""19157""","36854"
"Ringgold","IA","19159","=""19159""","80666"
"Sac","IA","19161","=""19161""","35535"
"Scott","IA","19163","=""19163""","62385"
"Shelby","IA","19165","=""19165""","35088"
"Sioux","IA","19167","=""19167""","53960"
"Story","IA","19169","=""19169""","52756"
"Tama","IA","19171","=""19171""","43831"
"Taylor","IA","19173","=""19173""","31685"
"Union","IA","19175","=""19175""","48097"
"Van Buren","IA","19177","=""19177""","39363"
"Wapello","IA","19179","=""19179""","53262"
"Warren","IA","19181","=""19181""","50412"
"Washington","IA","19183","=""19183""","43508"
"Wayne","IA","19185","=""19185""","32021"
"Webster","IA","19187","=""19187""","57469"
"Winnebago","IA","19189","=""19189""","45967"
"Winneshiek","IA","19191","=""19191""","48658"
"Woodbury","IA","19193","=""19193""","55297"
"Worth","IA","19195","=""19195""","51054"
"Wright","IA","19197","=""19197""","52400"
"Allen","KS","20001","=""20001""","32119"
"Anderson","KS","20003","=""20003""","32667"
"Atchison","KS","20005","=""20005""","48165"
"Barber","KS","20007","=""20007""","30155"
"Barton","KS","20009","=""20009""","46185"
"Bourbon","KS","20011","=""20011""","50658"
"Brown","KS","20013","=""20013""","34293"
"Butler","KS","20015","=""20015""","41003"
"Chase","KS","20017","=""20017""","33114"
"Chautauqua","KS","20019","=""20019""","N/A"
"Cherokee","KS","20021","=""20021""","29629"
"Cheyenne","KS","20023","=""20023""","40196"
"Clark","KS","20025","=""20025""","N/A"
"Clay","KS","20027","=""20027""","32112"
"Cloud","KS","20029","=""20029""","31103"
"Coffey","KS","20031","=""20031""","41801"
"Comanche","KS","20033","=""20033""","N/A"
"Cowley","KS","20035","=""20035""","40593"
"Crawford","KS","20037","=""20037""","33788"
"Decatur","KS","20039","=""20039""","22793"
"Dickinson","KS","20041","=""20041""","37851"
"Doniphan","KS","20043","=""20043""","N/A"
"Douglas","KS","20045","=""20045""","44594"
"Edwards","KS","20047","=""20047""","N/A"
"Elk","KS","20049","=""20049""","N/A"
"Ellis","KS","20051","=""20051""","42458"
"Ellsworth","KS","20053","=""20053""","36452"
"Finney","KS","20055","=""20055""","47206"
"Ford","KS","20057","=""20057""","44580"
"Franklin","KS","20059","=""20059""","39972"
"Geary","KS","20061","=""20061""","43313"
"Gove","KS","20063","=""20063""","N/A"
"Graham","KS","20065","=""20065""","N/A"
"Grant","KS","20067","=""20067""","40646"
"Gray","KS","20069","=""20069""","59622"
"Greeley","KS","20071","=""20071""","N/A"
"Greenwood","KS","20073","=""20073""","40319"
"Hamilton","KS","20075","=""20075""","N/A"
"Harper","KS","20077","=""20077""","38635"
"Harvey","KS","20079","=""20079""","47159"
"Haskell","KS","20081","=""20081""","49583"
"Hodgeman","KS","20083","=""20083""","N/A"
"Jackson","KS","20085","=""20085""","33422"
"Jefferson","KS","20087","=""20087""","47149"
"Jewell","KS","20089","=""20089""","N/A"
"Johnson","KS","20091","=""20091""","60896"
"Kearny","KS","20093","=""20093""","56783"
"Kingman","KS","20095","=""20095""","53829"
"Kiowa","KS","20097","=""20097""","52140"
"Labette","KS","20099","=""20099""","30752"
"Lane","KS","20101","=""20101""","N/A"
"Leavenworth","KS","20103","=""20103""","41877"
"Lincoln","KS","20105","=""20105""","N/A"
"Linn","KS","20107","=""20107""","43654"
"Logan","KS","20109","=""20109""","N/A"
"Lyon","KS","20111","=""20111""","40771"
"McPherson","KS","20113","=""20113""","50842"
"Marion","KS","20115","=""20115""","30768"
"Marshall","KS","20117","=""20117""","30903"
"Meade","KS","20119","=""20119""","N/A"
"Miami","KS","20121","=""20121""","46430"
"Mitchell","KS","20123","=""20123""","41740"
"Montgomery","KS","20125","=""20125""","46778"
"Morris","KS","20127","=""20127""","N/A"
"Morton","KS","20129","=""20129""","N/A"
"Nemaha","KS","20131","=""20131""","N/A"
"Neosho","KS","20133","=""20133""","34608"
"Ness","KS","20135","=""20135""","N/A"
"Norton","KS","20137","=""20137""","27581"
"Osage","KS","20139","=""20139""","35241"
"Osborne","KS","20141","=""20141""","36574"
"Ottawa","KS","20143","=""20143""","32844"
"Pawnee","KS","20145","=""20145""","46215"
"Phillips","KS","20147","=""20147""","26478"
"Pottawatomie","KS","20149","=""20149""","43959"
"Pratt","KS","20151","=""20151""","48725"
"Rawlins","KS","20153","=""20153""","39621"
"Reno","KS","20155","=""20155""","41414"
"Republic","KS","20157","=""20157""","26341"
"Rice","KS","20159","=""20159""","51656"
"Riley","KS","20161","=""20161""","50434"
"Rooks","KS","20163","=""20163""","26886"
"Rush","KS","20165","=""20165""","N/A"
"Russell","KS","20167","=""20167""","43934"
"Saline","KS","20169","=""20169""","50541"
"Scott","KS","20171","=""20171""","34517"
"Sedgwick","KS","20173","=""20173""","48303"
"Seward","KS","20175","=""20175""","43459"
"Shawnee","KS","20177","=""20177""","51424"
"Sheridan","KS","20179","=""20179""","38782"
"Sherman","KS","20181","=""20181""","37567"
"Smith","KS","20183","=""20183""","25855"
"Stafford","KS","20185","=""20185""","N/A"
"Stanton","KS","20187","=""20187""","N/A"
"Stevens","KS","20189","=""20189""","35450"
"Sumner","KS","20191","=""20191""","31925"
"Thomas","KS","20193","=""20193""","39811"
"Trego","KS","20195","=""20195""","N/A"
"Wabaunsee","KS","20197","=""20197""","56649"
"Wallace","KS","20199","=""20199""","N/A"
"Washington","KS","20201","=""20201""","29013"
"Wichita","KS","20203","=""20203""","N/A"
"Wilson","KS","20205","=""20205""","54379"
"Woodson","KS","20207","=""20207""","N/A"
"Wyandotte","KS","20209","=""20209""","66241"
"Adair","KY","21001","=""21001""","27892"
"Allen","KY","21003","=""21003""","40493"
"Anderson","KY","21005","=""21005""","36509"
"Ballard","KY","21007","=""21007""","71873"
"Barren","KY","21009","=""21009""","42739"
"Bath","KY","21011","=""21011""","43885"
"Bell","KY","21013","=""21013""","N/A"
"Boone","KY","21015","=""21015""","56204"
"Bourbon","KY","21017","=""21017""","N/A"
"Boyd","KY","21019","=""21019""","59964"
"Boyle","KY","21021","=""21021""","36813"
"Bracken","KY","21023","=""21023""","28056"
"Breathitt","KY","21025","=""21025""","35728"
"Breckinridge","KY","21027","=""21027""","48861"
"Bullitt","KY","21029","=""21029""","59836"
"Butler","KY","21031","=""21031""","30335"
"Caldwell","KY","21033","=""21033""","54440"
"Calloway","KY","21035","=""21035""","35340"
"Campbell","KY","21037","=""21037""","54246"
"Carlisle","KY","21039","=""21039""","32406"
"Carroll","KY","21041","=""21041""","45371"
"Carter","KY","21043","=""21043""","41140"
"Casey","KY","21045","=""21045""","39433"
"Christian","KY","21047","=""21047""","44466"
"Clark","KY","21049","=""21049""","52848"
"Clay","KY","21051","=""21051""","35179"
"Clinton","KY","21053","=""21053""","21682"
"Crittenden","KY","21055","=""21055""","34974"
"Cumberland","KY","21057","=""21057""","N/A"
"Daviess","KY","21059","=""21059""","44322"
"Edmonson","KY","21061","=""21061""","43285"
"Elliott","KY","21063","=""21063""","N/A"
"Estill","KY","21065","=""21065""","N/A"
"Fayette","KY","21067","=""21067""","53381"
"Fleming","KY","21069","=""21069""","35040"
"Floyd","KY","21071","=""21071""","34620"
"Franklin","KY","21073","=""21073""","48153"
"Fulton","KY","21075","=""21075""","33969"
"Gallatin","KY","21077","=""21077""","33429"
"Garrard","KY","21079","=""21079""","49562"
"Grant","KY","21081","=""21081""","65934"
"Graves","KY","21083","=""21083""","38750"
"Grayson","KY","21085","=""21085""","36883"
"Green","KY","21087","=""21087""","N/A"
"Greenup","KY","21089","=""21089""","37774"
"Hancock","KY","21091","=""21091""","53466"
"Hardin","KY","21093","=""21093""","44100"
"Harlan","KY","21095","=""21095""","25808"
"Harrison","KY","21097","=""21097""","24827"
"Hart","KY","21099","=""21099""","44208"
"Henderson","KY","21101","=""21101""","52441"
"Henry","KY","21103","=""21103""","38525"
"Hickman","KY","21105","=""21105""","N/A"
"Hopkins","KY","21107","=""21107""","38846"
"Jackson","KY","21109","=""21109""","28899"
"Jefferson","KY","21111","=""21111""","57928"
"Jessamine","KY","21113","=""21113""","45700"
"Johnson","KY","21115","=""21115""","38430"
"Kenton","KY","21117","=""21117""","51421"
"Knott","KY","21119","=""21119""","37986"
"Knox","KY","21121","=""21121""","38011"
"Larue","KY","21123","=""21123""","44649"
"Laurel","KY","21125","=""21125""","36339"
"Lawrence","KY","21127","=""21127""","N/A"
"Lee","KY","21129","=""21129""","N/A"
"Leslie","KY","21131","=""21131""","N/A"
"Letcher","KY","21133","=""21133""","N/A"
"Lewis","KY","21135","=""21135""","32821"
"Lincoln","KY","21137","=""21137""","41729"
"Livingston","KY","21139","=""21139""","33472"
"Logan","KY","21141","=""21141""","37882"
"Lyon","KY","21143","=""21143""","48236"
"McCracken","KY","21145","=""21145""","50997"
"McCreary","KY","21147","=""21147""","33248"
"McLean","KY","21149","=""21149""","35689"
"Madison","KY","21151","=""21151""","44034"
"Magoffin","KY","21153","=""21153""","30905"
"Marion","KY","21155","=""21155""","35768"
"Marshall","KY","21157","=""21157""","58171"
"Martin","KY","21159","=""21159""","15043"
"Mason","KY","21161","=""21161""","59614"
"Meade","KY","21163","=""21163""","56175"
"Menifee","KY","21165","=""21165""","32840"
"Mercer","KY","21167","=""21167""","37346"
"Metcalfe","KY","21169","=""21169""","N/A"
"Monroe","KY","21171","=""21171""","N/A"
"Montgomery","KY","21173","=""21173""","37238"
"Morgan","KY","21175","=""21175""","45024"
"Muhlenberg","KY","21177","=""21177""","42533"
"Nelson","KY","21179","=""21179""","39380"
"Nicholas","KY","21181","=""21181""","33484"
"Ohio","KY","21183","=""21183""","39597"
"Oldham","KY","21185","=""21185""","50934"
"Owen","KY","21187","=""21187""","39804"
"Owsley","KY","21189","=""21189""","N/A"
"Pendleton","KY","21191","=""21191""","28830"
"Perry","KY","21193","=""21193""","36396"
"Pike","KY","21195","=""21195""","42663"
"Powell","KY","21197","=""21197""","44071"
"Pulaski","KY","21199","=""21199""","41690"
"Robertson","KY","21201","=""21201""","N/A"
"Rockcastle","KY","21203","=""21203""","35693"
"Rowan","KY","21205","=""21205""","33623"
"Russell","KY","21207","=""21207""","27881"
"Scott","KY","21209","=""21209""","55156"
"Shelby","KY","21211","=""21211""","44367"
"Simpson","KY","21213","=""21213""","45352"
"Spencer","KY","21215","=""21215""","35704"
"Taylor","KY","21217","=""21217""","32008"
"Todd","KY","21219","=""21219""","45362"
"Trigg","KY","21221","=""21221""","N/A"
"Trimble","KY","21223","=""21223""","N/A"
"Union","KY","21225","=""21225""","46566"
"Warren","KY","21227","=""21227""","42584"
"Washington","KY","21229","=""21229""","43068"
"Wayne","KY","21231","=""21231""","N/A"
"Webster","KY","21233","=""21233""","56039"
"Whitley","KY","21235","=""21235""","45799"
"Wolfe","KY","21237","=""21237""","N/A"
"Woodford","KY","21239","=""21239""","43704"
"Acadia","LA","22001","=""22001""","34927"
"Allen","LA","22003","=""22003""","31077"
"Ascension","LA","22005","=""22005""","54093"
"Assumption","LA","22007","=""22007""","N/A"
"Avoyelles","LA","22009","=""22009""","36518"
"Beauregard","LA","22011","=""22011""","39115"
"Bienville","LA","22013","=""22013""","32774"
"Bossier","LA","22015","=""22015""","42985"
"Caddo","LA","22017","=""22017""","47253"
"Calcasieu","LA","22019","=""22019""","57246"
"Caldwell","LA","22021","=""22021""","21754"
"Cameron","LA","22023","=""22023""","N/A"
"Catahoula","LA","22025","=""22025""","28801"
"Claiborne","LA","22027","=""22027""","69329"
"Concordia","LA","22029","=""22029""","N/A"
"De Soto","LA","22031","=""22031""","36905"
"East Baton Rouge","LA","22033","=""22033""","66206"
"East Carroll","LA","22035","=""22035""","22485"
"East Feliciana","LA","22037","=""22037""","39999"
"Evangeline","LA","22039","=""22039""","39530"
"Franklin","LA","22041","=""22041""","21447"
"Grant","LA","22043","=""22043""","41857"
"Iberia","LA","22045","=""22045""","53577"
"Iberville","LA","22047","=""22047""","60064"
"Jackson","LA","22049","=""22049""","44688"
"Jefferson","LA","22051","=""22051""","54638"
"Jefferson Davis","LA","22053","=""22053""","39274"
"Lafayette","LA","22055","=""22055""","48355"
"Lafourche","LA","22057","=""22057""","61953"
"La Salle","LA","22059","=""22059""","40294"
"Lincoln","LA","22061","=""22061""","35730"
"Livingston","LA","22063","=""22063""","55811"
"Madison","LA","22065","=""22065""","24608"
"Morehouse","LA","22067","=""22067""","66112"
"Natchitoches","LA","22069","=""22069""","37732"
"Orleans","LA","22071","=""22071""","47991"
"Ouachita","LA","22073","=""22073""","43051"
"Plaquemines","LA","22075","=""22075""","50806"
"Pointe Coupee","LA","22077","=""22077""","31200"
"Rapides","LA","22079","=""22079""","41123"
"Red River","LA","22081","=""22081""","58111"
"Richland","LA","22083","=""22083""","38599"
"Sabine","LA","22085","=""22085""","35997"
"St. Bernard","LA","22087","=""22087""","53123"
"St. Charles","LA","22089","=""22089""","65083"
"St. Helena","LA","22091","=""22091""","N/A"
"St. James","LA","22093","=""22093""","58380"
"St. John the Baptist","LA","22095","=""22095""","67483"
"St. Landry","LA","22097","=""22097""","49631"
"St. Martin","LA","22099","=""22099""","40357"
"St. Mary","LA","22101","=""22101""","57087"
"St. Tammany","LA","22103","=""22103""","47478"
"Tangipahoa","LA","22105","=""22105""","39163"
"Tensas","LA","22107","=""22107""","N/A"
"Terrebonne","LA","22109","=""22109""","49265"
"Union","LA","22111","=""22111""","34878"
"Vermilion","LA","22113","=""22113""","46143"
"Vernon","LA","22115","=""22115""","36273"
"Washington","LA","22117","=""22117""","36397"
"Webster","LA","22119","=""22119""","N/A"
"West Baton Rouge","LA","22121","=""22121""","61379"
"West Carroll","LA","22123","=""22123""","N/A"
"West Feliciana","LA","22125","=""22125""","29611"
"Winn","LA","22127","=""22127""","40503"
"Androscoggin","ME","23001","=""23001""","49098"
"Aroostook","ME","23003","=""23003""","40308"
"Cumberland","ME","23005","=""23005""","52824"
"Franklin","ME","23007","=""23007""","42379"
"Hancock","ME","23009","=""23009""","42164"
"Kennebec","ME","23011","=""23011""","43833"
"Knox","ME","23013","=""23013""","38905"
"Lincoln","ME","23015","=""23015""","38800"
"Oxford","ME","23017","=""23017""","38647"
"Penobscot","ME","23019","=""23019""","51225"
"Piscataquis","ME","23021","=""23021""","41873"
"Sagadahoc","ME","23023","=""23023""","36490"
"Somerset","ME","23025","=""23025""","47869"
"Waldo","ME","23027","=""23027""","39003"
"Washington","ME","23029","=""23029""","35676"
"York","ME","23031","=""23031""","46749"
"Allegany","MD","24001","=""24001""","48754"
"Anne Arundel","MD","24003","=""24003""","66012"
"Baltimore","MD","24005","=""24005""","63110"
"Calvert","MD","24009","=""24009""","58524"
"Caroline","MD","24011","=""24011""","43879"
"Carroll","MD","24013","=""24013""","54788"
"Cecil","MD","24015","=""24015""","45954"
"Charles","MD","24017","=""24017""","58818"
"Dorchester","MD","24019","=""24019""","42867"
"Frederick","MD","24021","=""24021""","60011"
"Garrett","MD","24023","=""24023""","36894"
"Harford","MD","24025","=""24025""","54541"
"Howard","MD","24027","=""24027""","68583"
"Kent","MD","24029","=""24029""","45059"
"Montgomery","MD","24031","=""24031""","61830"
"Prince George's","MD","24033","=""24033""","72559"
"Queen Anne's","MD","24035","=""24035""","52106"
"St. Mary's","MD","24037","=""24037""","56525"
"Somerset","MD","24039","=""24039""","37180"
"Talbot","MD","24041","=""24041""","47960"
"Washington","MD","24043","=""24043""","48513"
"Wicomico","MD","24045","=""24045""","51142"
"Worcester","MD","24047","=""24047""","42634"
"Baltimore City","MD","24510","=""24510""","65156"
"Barnstable","MA","25001","=""25001""","58694"
"Berkshire","MA","25003","=""25003""","55675"
"Bristol","MA","25005","=""25005""","64560"
"Dukes","MA","25007","=""25007""","68044"
"Essex","MA","25009","=""25009""","72679"
"Franklin","MA","25011","=""25011""","55117"
"Hampden","MA","25013","=""25013""","65846"
"Hampshire","MA","25015","=""25015""","53390"
"Middlesex","MA","25017","=""25017""","76995"
"Nantucket","MA","25019","=""25019""","63202"
"Norfolk","MA","25021","=""25021""","83556"
"Plymouth","MA","25023","=""25023""","76292"
"Suffolk","MA","25025","=""25025""","89360"
"Worcester","MA","25027","=""25027""","66248"
"Alcona","MI","26001","=""26001""","27243"
"Alger","MI","26003","=""26003""","35984"
"Allegan","MI","26005","=""26005""","55336"
"Alpena","MI","26007","=""26007""","N/A"
"Antrim","MI","26009","=""26009""","36208"
"Arenac","MI","26011","=""26011""","38209"
"Baraga","MI","26013","=""26013""","36926"
"Barry","MI","26015","=""26015""","42405"
"Bay","MI","26017","=""26017""","46522"
"Benzie","MI","26019","=""26019""","38520"
"Berrien","MI","26021","=""26021""","50160"
"Branch","MI","26023","=""26023""","43538"
"Calhoun","MI","26025","=""26025""","61474"
"Cass","MI","26027","=""26027""","43257"
"Charlevoix","MI","26029","=""26029""","39063"
"Cheboygan","MI","26031","=""26031""","44730"
"Chippewa","MI","26033","=""26033""","40812"
"Clare","MI","26035","=""26035""","51761"
"Clinton","MI","26037","=""26037""","56347"
"Crawford","MI","26039","=""26039""","N/A"
"Delta","MI","26041","=""26041""","43464"
"Dickinson","MI","26043","=""26043""","85995"
"Eaton","MI","26045","=""26045""","55917"
